Date,Adj Close,Rets,Adjusted Returns,Returns,,,,,,
2019-01-12,3619.41,-0.45%,-16.03%,0.851853262,,,,,0.39894228,0.418889394
2019-01-13,3514.24,-2.91%,-70.65%,0.49338929,,,,,0.39894228,0.418889394
2019-01-14,3664.19,4.27%,88.72%,2.428305554,,,,,0.39894228,0.418889394
2019-01-15,3580.76,-2.28%,-56.67%,0.567370561,,,,,0.39894228,0.418889394
2019-01-16,3609.71,0.81%,11.88%,1.126125224,,,,,0.39894228,0.418889394
2019-01-17,3640.65,0.86%,12.96%,1.138362574,,,,,0.39894228,0.418889394
2019-01-18,3607.85,-0.90%,-26.10%,0.770261673,,,,,0.39894228,0.418889394
2019-01-19,3682.65,2.07%,39.98%,1.491518557,,,,,0.39894228,0.418889394
2019-01-20,3536.19,-3.98%,-94.45%,0.388880143,,,,,0.39894228,0.418889394
2019-01-21,3531.76,-0.13%,-8.87%,0.915133801,,,,,0.39894228,0.418889394
2019-01-22,3577.03,1.28%,22.39%,1.251001897,,,,,0.39894228,0.418889394
2019-01-23,3553.01,-0.67%,-21.00%,0.81054457,,,,,0.39894228,0.418889394
2019-01-24,3568.97,0.45%,3.90%,1.039722529,,,,,0.39894228,0.418889394
2019-01-25,3562.17,-0.19%,-10.32%,0.901961306,,,,,0.39894228,0.418889394
2019-01-26,3556.07,-0.17%,-9.89%,0.905834794,,,,,0.39894228,0.418889394
2019-01-27,3531.02,-0.70%,-21.74%,0.804637174,,,,,0.39894228,0.418889394
2019-01-28,3429.95,-2.86%,-69.68%,0.498167355,,,,,0.39894228,0.418889394
2019-01-29,3397.42,-0.95%,-27.16%,0.762179952,,,,,0.39894228,0.418889394
2019-01-30,3437.55,1.18%,20.16%,1.223348166,,,,,0.39894228,0.418889394
2019-01-31,3411.50,-0.76%,-22.92%,0.795150765,,,,,0.39894228,0.418889394
2019-02-01,3437.50,0.76%,10.85%,1.114585268,,,,,0.39894228,0.418889394
2019-02-02,3468.43,0.90%,13.91%,1.149200968,,,,,0.39894228,0.418889394
2019-02-03,3414.78,-1.55%,-40.45%,0.667292011,,,,,0.39894228,0.418889394
2019-02-04,3409.57,-0.15%,-9.47%,0.909600547,,,,,0.39894228,0.418889394
2019-02-05,3428.40,0.55%,6.19%,1.063808051,,,,,0.39894228,0.418889394
2019-02-06,3367.36,-1.78%,-45.64%,0.633539647,,,,,0.39894228,0.418889394
2019-02-07,3359.00,-0.25%,-11.60%,0.890465096,,,,,0.39894228,0.418889394
2019-02-08,3621.99,7.83%,167.87%,5.358708699,,,,,0.39894228,0.418889394
2019-02-09,3623.73,0.05%,-5.02%,0.951061178,,,,,0.39894228,0.418889394
2019-02-10,3648.84,0.69%,9.31%,1.097580464,,,,,0.39894228,0.418889394
2019-02-11,3590.36,-1.60%,-41.69%,0.659056632,,,,,0.39894228,0.418889394
2019-02-12,3588.06,-0.06%,-7.51%,0.927665715,,,,,0.39894228,0.418889394
2019-02-13,3576.68,-0.32%,-13.13%,0.876937736,,,,,0.39894228,0.418889394
2019-02-14,3561.50,-0.42%,-15.51%,0.856287402,,,,,0.39894228,0.418889394
2019-02-15,3566.59,0.14%,-2.91%,0.971322625,,,,,0.39894228,0.418889394
2019-02-16,3582.37,0.44%,3.75%,1.038162723,,,,,0.39894228,0.418889394
2019-02-17,3625.08,1.19%,20.40%,1.226351818,,,,,0.39894228,0.418889394
2019-02-18,3867.00,6.67%,142.19%,4.144983556,,,,,0.39894228,0.418889394
2019-02-19,3888.01,0.54%,5.99%,1.061693815,,,,,0.39894228,0.418889394
2019-02-20,3938.99,1.31%,23.05%,1.259204228,,,,,0.39894228,0.418889394
2019-02-21,3897.71,-1.05%,-29.37%,0.745502794,,,,,0.39894228,0.418889394
2019-02-22,3942.02,1.14%,19.17%,1.211347507,,,,,0.39894228,0.418889394
2019-02-23,4110.00,4.26%,88.59%,2.425254609,,,,,0.39894228,0.418889394
2019-02-24,3734.22,-9.14%,-209.23%,0.123403319,,,,,0.39894228,0.418889394
2019-02-25,3818.79,2.26%,44.23%,1.556340287,,,,,0.39894228,0.418889394
2019-02-26,3799.48,-0.51%,-17.32%,0.840969548,,,,,0.39894228,0.418889394
2019-02-27,3799.91,0.01%,-5.83%,0.943332871,,,,,0.39894228,0.418889394
2019-02-28,3792.14,-0.20%,-10.63%,0.899170556,,,,,0.39894228,0.418889394
2019-03-01,3806.17,0.37%,2.14%,1.021581841,,,,,0.39894228,0.418889394
2019-03-02,3809.70,0.09%,-4.02%,0.960554748,,,,,0.39894228,0.418889394
2019-03-03,3786.93,-0.60%,-19.36%,0.823948821,,,,,0.39894228,0.418889394
2019-03-04,3700.72,-2.28%,-56.67%,0.567419394,,,,,0.39894228,0.418889394
2019-03-05,3844.59,3.89%,80.29%,2.232045375,,,,,0.39894228,0.418889394
2019-03-06,3851.89,0.19%,-1.87%,0.981510224,,,,,0.39894228,0.418889394
2019-03-07,3857.05,0.13%,-3.11%,0.969391492,,,,,0.39894228,0.418889394
2019-03-08,3843.12,-0.36%,-14.11%,0.868407657,,,,,0.39894228,0.418889394
2019-03-09,3917.00,1.92%,36.63%,1.442353142,,,,,0.39894228,0.418889394
2019-03-10,3900.93,-0.41%,-15.20%,0.858984298,,,,,0.39894228,0.418889394
2019-03-11,3849.68,-1.31%,-35.28%,0.702749978,,,,,0.39894228,0.418889394
2019-03-12,3860.00,0.27%,-0.13%,0.998712142,,,,,0.39894228,0.418889394
2019-03-13,3851.02,-0.23%,-11.25%,0.893561481,,,,,0.39894228,0.418889394
2019-03-14,3853.95,0.08%,-4.39%,0.957005651,,,,,0.39894228,0.418889394
2019-03-15,3902.80,1.27%,22.08%,1.247042768,,,,,0.39894228,0.418889394
2019-03-16,3990.00,2.23%,43.56%,1.545850965,,,,,0.39894228,0.418889394
2019-03-17,3967.01,-0.58%,-18.89%,0.827893178,,,,,0.39894228,0.418889394
2019-03-18,3970.50,0.09%,-4.13%,0.959537577,,,,,0.39894228,0.418889394
2019-03-19,4000.85,0.76%,10.90%,1.1151449,,,,,0.39894228,0.418889394
